epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
43,12045.1,1.32659,1.49543,1.88457,0.82548,0.66867,0.73481,0.42167,1.57733,1.18751,2.43863,0.005842,0.005842,0.005842
44,12331.2,1.32207,1.4806,1.87529,0.82323,0.68929,0.74692,0.42811,1.57913,1.16979,2.43476,0.005743,0.005743,0.005743
45,12620.4,1.31425,1.47382,1.8746,0.80572,0.68263,0.74417,0.43019,1.57499,1.1849,2.44351,0.005644,0.005644,0.005644
46,12906.9,1.30184,1.4682,1.86319,0.83048,0.6918,0.74554,0.43296,1.58214,1.1644,2.44781,0.005545,0.005545,0.005545
47,13191.6,1.30584,1.45403,1.86368,0.82222,0.69545,0.74766,0.43496,1.5754,1.13862,2.44207,0.005446,0.005446,0.005446
48,13477.4,1.30559,1.44819,1.85794,0.82036,0.69488,0.75168,0.42614,1.57353,1.14097,2.42822,0.005347,0.005347,0.005347
49,13762.2,1.28746,1.42927,1.85063,0.80958,0.69115,0.74927,0.43165,1.57664,1.15417,2.44194,0.005248,0.005248,0.005248
50,14050.8,1.29128,1.43967,1.85541,0.81619,0.68693,0.74699,0.42922,1.58838,1.1351,2.45888,0.005149,0.005149,0.005149
51,14335.5,1.28759,1.41515,1.84756,0.82282,0.70118,0.75172,0.42896,1.59653,1.14264,2.4668,0.00505,0.00505,0.00505
52,14620.9,1.28537,1.4052,1.84346,0.79152,0.71112,0.75183,0.43452,1.59184,1.1239,2.46049,0.004951,0.004951,0.004951
53,14906.7,1.27632,1.37154,1.83275,0.84966,0.68548,0.75266,0.43709,1.58714,1.13424,2.4493,0.004852,0.004852,0.004852
54,15191.3,1.27204,1.37004,1.82584,0.81865,0.68889,0.75235,0.43727,1.57288,1.13181,2.43348,0.004753,0.004753,0.004753
55,15473.9,1.26424,1.35302,1.82496,0.8311,0.6919,0.75729,0.44161,1.57323,1.12216,2.43349,0.004654,0.004654,0.004654
56,15759.1,1.25639,1.3484,1.82379,0.83028,0.69732,0.75679,0.44001,1.57899,1.1265,2.45139,0.004555,0.004555,0.004555
57,16046.2,1.2491,1.34557,1.81738,0.84972,0.69113,0.76179,0.44338,1.57753,1.12745,2.44705,0.004456,0.004456,0.004456
58,16332.1,1.25134,1.32432,1.80737,0.83755,0.70272,0.76249,0.44495,1.57784,1.11819,2.45417,0.004357,0.004357,0.004357
59,16618.1,1.24553,1.31086,1.81001,0.84308,0.7059,0.76092,0.44189,1.58495,1.12646,2.46284,0.004258,0.004258,0.004258
60,16903.7,1.23978,1.32936,1.80493,0.83852,0.70394,0.76026,0.44625,1.58362,1.11544,2.46142,0.004159,0.004159,0.004159
61,17189.8,1.23914,1.3091,1.79825,0.84825,0.70019,0.76189,0.44197,1.58736,1.10424,2.46656,0.00406,0.00406,0.00406
62,17478.1,1.23054,1.2778,1.78811,0.82649,0.71205,0.76084,0.44229,1.58123,1.11644,2.45879,0.003961,0.003961,0.003961
63,17765.9,1.22481,1.28336,1.78359,0.8224,0.70935,0.75835,0.44182,1.57847,1.12642,2.45246,0.003862,0.003862,0.003862
64,18053.3,1.22936,1.26668,1.78428,0.84392,0.71049,0.7641,0.44262,1.58227,1.1243,2.46297,0.003763,0.003763,0.003763
65,18345.1,1.22339,1.28448,1.78326,0.83941,0.71037,0.76504,0.44353,1.58095,1.12473,2.46867,0.003664,0.003664,0.003664
66,18634.2,1.21965,1.26262,1.77801,0.81902,0.72297,0.76472,0.44265,1.5817,1.12379,2.47207,0.003565,0.003565,0.003565
67,18919.7,1.21165,1.24703,1.77155,0.87006,0.70303,0.76618,0.44446,1.58385,1.13157,2.47419,0.003466,0.003466,0.003466
68,19200.5,1.21028,1.24928,1.76686,0.84703,0.71184,0.76505,0.44234,1.58415,1.11524,2.47579,0.003367,0.003367,0.003367
69,19481,1.19913,1.23515,1.76006,0.8459,0.70572,0.76096,0.44018,1.5829,1.13417,2.47799,0.003268,0.003268,0.003268
70,19760.4,1.1908,1.22827,1.75578,0.84234,0.7085,0.75984,0.44179,1.59016,1.126,2.48719,0.003169,0.003169,0.003169
71,20040.6,1.1896,1.22191,1.75618,0.83813,0.70309,0.75806,0.44074,1.58895,1.13494,2.48958,0.00307,0.00307,0.00307
72,20320.3,1.18005,1.21109,1.74978,0.8257,0.71241,0.75765,0.44207,1.59435,1.12982,2.49945,0.002971,0.002971,0.002971
73,20613.7,1.17451,1.18823,1.73424,0.82753,0.70393,0.75758,0.44117,1.59257,1.13235,2.5018,0.002872,0.002872,0.002872
74,20902.1,1.17353,1.18607,1.73441,0.85123,0.69293,0.75743,0.43985,1.59386,1.13342,2.50679,0.002773,0.002773,0.002773
75,21192,1.17347,1.18621,1.73339,0.85027,0.69479,0.75841,0.43993,1.59453,1.14047,2.51129,0.002674,0.002674,0.002674
76,21479.2,1.15577,1.15619,1.72013,0.84209,0.70144,0.75852,0.43886,1.59539,1.14168,2.51454,0.002575,0.002575,0.002575
77,21765.8,1.16073,1.16841,1.72274,0.83769,0.70053,0.75773,0.43889,1.59393,1.14772,2.51079,0.002476,0.002476,0.002476
78,22044.1,1.15327,1.15514,1.71354,0.81029,0.71513,0.75546,0.43948,1.5983,1.15274,2.51834,0.002377,0.002377,0.002377
79,22321.5,1.14007,1.13587,1.70191,0.82004,0.70654,0.75506,0.43921,1.60081,1.15399,2.52527,0.002278,0.002278,0.002278
80,22603.7,1.14805,1.14685,1.71148,0.82681,0.70623,0.75812,0.43883,1.60399,1.15054,2.5324,0.002179,0.002179,0.002179
81,22882.5,1.14194,1.13905,1.70507,0.81788,0.70743,0.75582,0.43779,1.60319,1.15386,2.53262,0.00208,0.00208,0.00208
82,23159,1.14096,1.13312,1.70054,0.83558,0.70338,0.75639,0.43832,1.60395,1.15477,2.53675,0.001981,0.001981,0.001981
83,23435.5,1.12724,1.12593,1.68952,0.83808,0.69944,0.75535,0.43783,1.60639,1.15803,2.54241,0.001882,0.001882,0.001882
84,23711.6,1.12433,1.11133,1.68596,0.83709,0.70251,0.7552,0.43856,1.60989,1.1639,2.54795,0.001783,0.001783,0.001783
85,23987.5,1.10951,1.10326,1.67487,0.84547,0.69797,0.75423,0.43824,1.60922,1.16331,2.551,0.001684,0.001684,0.001684
